rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
201,048410,현대바이오,9300,893180928000,0.21150276848622843,0.7816091954022988,-0.41435768261964734,9.282752108702695,2.478641840087623,1.027044288902806,0.0
202,000880,한화,113500,8507816422500,0.21092209134623688,0.3609112709832134,-0.18286537077033838,0.429009428491835,4.050909090909091,0.0,0.0
203,099320,쎄트렉아이,150000,1642691700000,0.20708806238202,1.3183925811437405,-0.038461538461538436,0.5725794003542748,3.0784313725490193,0.0,0.0
204,095340,ISC,131600,2789532832800,0.20303515685402193,0.24739336492890995,0.0,2.132301537465379,2.074766355140187,-0.0,0.0
205,052400,코나아이,63100,918943662100,0.20264539551611735,0.3658008658008658,-0.26627906976744187,4.959769391779121,3.1951219512195124,0.0,0.0
206,051915,LG화학우,178200,1370144160000,0.2001758946389661,0.03785672684915542,-0.16141176470588237,1.6380674605047738,1.3351648351648353,0.0,0.0
207,060250,NHN KCP,21500,863453136500,0.20008287729743282,0.4191419141914192,-0.08510638297872342,3.6656705495072663,2.425655976676385,0.0,0.0
208,005930,삼성전자,162400,961349198532800,0.19945252906573316,0.4617461746174618,-0.005511328842620955,0.9874100689279645,2.2145669291338583,0.0,0.0
209,326030,SK바이오팜,119400,9350602050000,0.1992035057749962,-0.0598425196850394,-0.1714087439278279,1.3739868407365647,0.6582278481012658,0.0,0.0
210,003670,포스코켐텍,239500,21302619690000,0.19887093629254587,0.20959595959595956,-0.0788461538461539,1.9125208720675486,1.6395939086294415,0.0,0.0
211,389650,넥스트바이오메디컬,75900,622674947400,0.1987750230080201,-0.09101796407185625,-0.2485148514851485,1.2917087122553423,1.8370786516853932,0.0,0.0
212,093370,후성,8450,906307538500,0.19831190220447162,0.09455958549222787,-0.1882804995196926,3.4340308917622746,1.7394736842105263,0.0,0.0
213,083450,GST,30300,558429000000,0.19691948658343764,0.12014787430683915,-0.07621951219512191,1.5364161612386837,1.1340273259596616,0.0,0.0
214,064260,다날,8980,675111721420,0.19644469838398235,0.2318244170096022,-0.21572052401746722,4.248764235906404,3.731404958677686,0.0,0.0
215,267270,현대건설기계,107300,5147622861400,0.19566032020967927,0.13665254237288127,-0.1858877086494689,3.6329417221908624,1.3577817531305905,0.0,0.0
216,439260,대한조선,71200,2743073414400,0.1955836709616533,0.0028169014084507005,,1.6929922135706341,,,
217,080220,제주반도체,36500,1257163404500,0.1950362476516462,0.9010416666666667,-0.024064171122994638,2.678513997121061,2.9576719576719577,0.0,0.0
218,021240,웅진코웨이,79600,5723966986800,0.19306118198960437,-0.10461192350956128,-0.30601569311246735,1.3098082401666227,0.6744525547445255,0.0,0.0
219,108490,로보티즈,307000,4473017016000,0.19200120454601358,0.1455223880597014,-0.051004636785162316,2.0524816181710577,10.116838487972508,0.0,0.0
220,348370,엔켐,88500,1933737036000,0.1916536504873085,0.2464788732394365,-0.4402277039848197,5.004617912283218,1.977401129943503,0.8705067592920165,0.0
221,257720,실리콘투,51300,3138118880400,0.1869998876843654,0.3153846153846154,-0.1908517350157729,0.9046160651840364,1.6864406779661016,0.0,0.0
222,329180,HD현대중공업,586000,61507277850000,0.1868704120698834,0.12909441233140662,-0.10122699386503065,1.01369702454185,1.401473296500921,0.0,0.0
223,051910,LG화학,354000,24989689422000,0.18421386669508352,0.023121387283236983,-0.17386231038506417,1.4726763877051725,1.3608815426997247,0.0,0.0
224,030530,원익홀딩스,41150,3178342918150,0.1833700626693258,0.13988919667590038,-0.18675889328063244,0.27220174409013764,18.46153846153846,0.0,0.0
225,377300,카카오페이,65400,8838492810000,0.18272960393029428,0.3238866396761133,-0.4263157894736842,2.629804432388003,3.5238095238095237,1.5022556390977444,0.0
226,358570,지아이이노베이션,16500,1053904351500,0.18208755915485728,-0.02135231316725983,-0.3373493975903614,1.1777698563669583,1.8886310904872388,0.6371285606462974,0.0
227,253590,네오셈,16490,723402514360,0.18040770576304388,0.7357894736842105,0.0,9.40420098157219,1.16688567674113,-0.0,0.0
228,034730,SK,305500,22149575766500,0.17950327534647728,0.23684210526315796,-0.008116883116883078,1.2586621128867224,1.6829268292682928,0.0,0.0
229,290650,엘앤씨바이오,74800,1858186312400,0.17930117587359293,0.15968992248062008,-0.06499999999999995,3.2577506458871572,3.3266630611141155,0.0,0.0
230,267250,현대중공업지주,237500,18760857687500,0.17852411836925153,0.2318464730290457,-0.11710037174721188,0.7474500524264621,3.057315233785822,0.0,0.0
231,005387,현대차2우B,272000,9510188960000,0.17687350972249322,0.30455635491606725,-0.1807228915662651,0.8491912063089212,1.4906226556639162,0.0,0.0
232,356860,티엘비,61700,606673271000,0.17672186425492925,0.04399323181049075,-0.19765929778933677,1.5174345406179073,5.246953696181966,0.0,0.0
233,082270,젬백스,41600,1775504182400,0.17556263729640273,0.5238095238095237,-0.42778541953232463,3.259548660988482,3.2415402567094516,1.386683658647372,0.0
234,032350,롯데관광개발,21900,1741914699600,0.17366585785391048,-0.049891540130151846,-0.09876543209876543,0.8121467296964625,2.193166885676741,0.0,0.0
235,030200,KT,55900,14088012191500,0.17180917473297325,0.04681647940074907,-0.0557432432432432,1.1327408006922202,0.35779816513761475,0.0,0.0
236,078160,메디포스트,23900,936990011700,0.17097983571049508,0.4150384843102428,-0.010351966873705987,6.87030731079,2.2242990654205608,0.0,0.0
237,000155,두산우,497500,1988239845000,0.16845868499682468,0.004036326942482349,-0.22628304821150858,1.0941910158068453,4.615720524017467,0.0,0.0
238,003230,삼양식품,1199000,9032084985000,0.16767175957929273,-0.05292259083728279,-0.27987987987987983,0.7935174274385102,1.4962518740629687,0.0,0.0
239,017800,현대엘리베이,91000,3557407035000,0.16489703389469926,0.006637168141592875,-0.05405405405405406,0.8630040401376663,0.9876033057851239,0.0,0.0
240,103590,일진전기,66000,3147235740000,0.16443588983469787,0.22222222222222232,-0.027982326951399128,1.7782673492904284,2.4292929292929295,0.0,0.0
241,272210,한화시스템,89000,16813825621000,0.16384222221608039,0.580817051509769,-0.10372608257804627,0.3028550688075915,3.280172413793103,0.0,0.0
242,183300,코미코,126000,1318046184000,0.16318370359958123,0.46341463414634143,-0.01945525291828798,1.9571756402748708,2.5994397759103642,0.0,0.0
243,011170,롯데케미칼,86400,3695796201600,0.16288359943433456,0.16442048517520225,-0.03463687150837991,1.939814189144814,0.7277992277992278,0.0,0.0
244,195870,해성디에스,63700,1082900000000,0.16151875498437146,0.1906542056074767,-0.015455950540958274,2.2954999221292027,2.6246498599439776,0.0,0.0
245,466100,클로봇,73500,1836922216500,0.1607506349572066,0.10360360360360366,-0.10692588092345079,0.969957395025534,6.838095238095238,0.0,0.0
