rank,stock_code,name,closing_price,market_cap,pe,pb,roe,gpa,debt_ratio,score
240,006800,미래에셋대우,34800,19734583543200,18.4271248106041,1.5296030391493631,0.055945162305573594,0.10904997296037545,10.218146846230686,0.46267318532898327
241,454910,두산로보틱스,120400,7804325592000,18.4271248106041,21.412374970312282,-0.10656835144009166,0.007757419715555776,0.0973341312733119,0.46234011095971916
242,272210,한화시스템,89000,16813825621000,70.12315072260861,3.4598010153330603,0.04933892701169766,0.03045265707789728,0.9696564989663243,0.4612047882735324
243,005935,삼성전자우,117900,96203412885600,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.461143331131603
244,174900,앱클론,65800,1309972325200,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.4607281886794433
245,358570,지아이이노베이션,16500,1053904351500,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.4606072753227509
246,030530,원익홀딩스,41150,3178342918150,82.492586654042,2.4738200670787887,0.029988392501904597,0.06294126062693157,0.49891607702413476,0.46049684843618927
247,039490,키움증권,395000,10675160190000,18.4271248106041,1.6596892042824098,0.055945162305573594,0.10904997296037545,10.244687625450892,0.46036731366676176
248,005387,현대차2우B,272000,9510188960000,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.45994823976837074
249,039200,오스코텍,52300,2000902604800,229.34895634694897,16.27522514017582,-0.0782710910143793,0.12659434870403855,0.25372899187806747,0.4581472345258694
